incident_id,valid_prediction,validation_error,root_cause_correct,evidence_covered,evidence_expected,non_allowlisted_evidence_count,predicted_evidence_count,contributing_exact,contributing_true_positive,contributing_predicted,contributing_expected,causal_reasoning_score
CC-001,True,,False,1,4,0,1,True,0,0,0,0
CC-002,True,,True,3,4,5,9,False,0,1,0,1
CC-003,True,,True,3,4,1,5,True,0,0,0,2
CC-004,True,,True,4,4,2,7,True,0,0,0,2
CC-005,True,,False,0,4,4,4,False,0,1,1,0
CC-007,True,,False,1,4,0,1,True,0,0,0,0
CC-009,True,,False,2,4,3,6,False,0,1,0,0
CC-012,True,,True,0,4,1,1,True,0,0,0,1
CC-014,True,,True,2,4,3,5,True,0,0,0,2
CC-015,True,,False,1,4,0,4,True,1,1,1,0
